LotDescription,Return Month,EvidencedSpend,Sector,SME or Large,,SupplierName,CustomerName
Specialist Cloud Services,01/01/2013,17500,Central Government,SME,,EMERGN LTD,Ministry of Justice
Specialist Cloud Services,01/01/2013,8750,Central Government,SME,,EMERGN LTD,Ministry of Justice
Specialist Cloud Services,01/02/2013,7500,Central Government,SME,,EMERGN LTD,Ministry of Justice
Specialist Cloud Services,01/03/2013,5941.25,Central Government,SME,,EMERGN LTD,Ministry of Justice
Specialist Cloud Services,01/08/2012,11250,Central Government,SME,,EMERGN LTD,Department for International Development
Specialist Cloud Services,01/11/2012,20625,Central Government,SME,,EMERGN LTD,Department for International Development
Specialist Cloud Services,01/06/2013,9800,Central Government,SME,,EMERGN LTD,Department for International Development
Specialist Cloud Services,01/08/2013,11875,Central Government,SME,,EMERGN LTD,Department for International Development
Specialist Cloud Services,01/12/2013,3500,Central Government,SME,,EMERGN LTD,Department for International Development
Specialist Cloud Services,01/02/2013,2500,Central Government,SME,,EMERGN LTD,Department for International Development
Specialist Cloud Services,01/09/2012,28433.5,Central Government,SME,,EMERGN LTD,Department for Work And Pensions
Specialist Cloud Services,01/10/2012,55480,Central Government,SME,,EMERGN LTD,Department for Work And Pensions
Specialist Cloud Services,01/02/2013,11250,Central Government,SME,,EMERGN LTD,Ministry of Justice
Specialist Cloud Services,01/02/2013,7812.5,Central Government,SME,,EMERGN LTD,Ministry of Justice
Specialist Cloud Services,01/11/2012,52013,Central Government,SME,,EMERGN LTD,Department for Work And Pensions
Specialist Cloud Services,01/09/2012,16875,Central Government,SME,,EMERGN LTD,Department for International Development
Specialist Cloud Services,01/07/2012,47158,Central Government,SME,,EMERGN LTD,Department for Work And Pensions
Specialist Cloud Services,01/03/2013,10412.5,Central Government,SME,,EMERGN LTD,Department for International Development
Specialist Cloud Services,01/03/2013,3125,Central Government,SME,,EMERGN LTD,Department for International Development
Specialist Cloud Services,01/03/2013,9800,Central Government,SME,,EMERGN LTD,Department for International Development
Specialist Cloud Services,01/04/2013,1875,Central Government,SME,,EMERGN LTD,Department for International Development
Specialist Cloud Services,01/05/2013,1250,Central Government,SME,,EMERGN LTD,Department for International Development
Specialist Cloud Services,01/05/2013,1875,Central Government,SME,,EMERGN LTD,Department for International Development
Specialist Cloud Services,01/12/2013,2500,Central Government,SME,,EMERGN LTD,Department for International Development
Specialist Cloud Services,01/03/2014,12750,Central Government,Large,,Amor Business Technology Solutions Ltd,Department for Work And Pensions
Specialist Cloud Services,01/08/2012,67963,Central Government,SME,,EMERGN LTD,Department for Work And Pensions
Specialist Cloud Services,01/10/2012,27046.5,Central Government,SME,,EMERGN LTD,Department for Work And Pensions
Specialist Cloud Services,01/11/2012,60335,Central Government,SME,,EMERGN LTD,Department for Work And Pensions
Specialist Cloud Services,01/11/2012,29127,Central Government,SME,,EMERGN LTD,Department for Work And Pensions
Specialist Cloud Services,01/03/2013,1250,Central Government,SME,,EMERGN LTD,Department for International Development
Specialist Cloud Services,01/04/2013,12862.5,Central Government,SME,,EMERGN LTD,Department for International Development
Specialist Cloud Services,01/05/2013,10412.5,Central Government,SME,,EMERGN LTD,Department for International Development
Specialist Cloud Services,01/05/2013,10412.5,Central Government,SME,,EMERGN LTD,Department for International Development
Specialist Cloud Services,01/06/2013,9187.5,Central Government,SME,,EMERGN LTD,Department for International Development
Specialist Cloud Services,01/02/2013,9800,Central Government,SME,,EMERGN LTD,Department for International Development
Specialist Cloud Services,01/08/2012,56867,Central Government,SME,,EMERGN LTD,Department for Work And Pensions
Specialist Cloud Services,01/09/2012,40916.5,Central Government,SME,,EMERGN LTD,Department for Work And Pensions
Specialist Cloud Services,01/06/2012,43691,Central Government,SME,,EMERGN LTD,Department for Work And Pensions
Specialist Cloud Services,01/07/2012,51319,Central Government,SME,,EMERGN LTD,Department for Work And Pensions
Specialist Cloud Services,01/01/2013,4350,Central Government,SME,,EMERGN LTD,Home Office
Specialist Cloud Services,01/11/2012,7500,Central Government,SME,,EMERGN LTD,Department Of Energy And Climate Change
Specialist Cloud Services,01/11/2012,12500,Central Government,SME,,EMERGN LTD,Department Of Energy And Climate Change
Specialist Cloud Services,01/03/2013,250000,Central Government,SME,,EMERGN LTD,Office for National Statistics
Specialist Cloud Services,01/06/2013,25425,Central Government,SME,,EMERGN LTD,Office for National Statistics
Specialist Cloud Services,01/06/2013,28900,Central Government,SME,,EMERGN LTD,Office for National Statistics
Specialist Cloud Services,01/08/2013,22530,Central Government,SME,,EMERGN LTD,Office for National Statistics
Specialist Cloud Services,01/10/2013,1900,Central Government,SME,,EMERGN LTD,Office for National Statistics
Specialist Cloud Services,01/01/2014,26595,Central Government,SME,,EMERGN LTD,Office for National Statistics
Specialist Cloud Services,01/02/2013,23300,Central Government,SME,,EMERGN LTD,Office for National Statistics
Specialist Cloud Services,01/04/2013,1600,Central Government,SME,,EMERGN LTD,Maritime and Coastguard Agency
Specialist Cloud Services,01/09/2012,7500,Central Government,SME,,EMERGN LTD,Student Loans Company Limited
Specialist Cloud Services,01/01/2013,13015,Central Government,SME,,EMERGN LTD,Student Loans Company Limited
Specialist Cloud Services,01/03/2013,15070,Central Government,SME,,EMERGN LTD,Student Loans Company Limited
Specialist Cloud Services,01/03/2013,9000,Central Government,SME,,EMERGN LTD,Student Loans Company Limited
Specialist Cloud Services,01/04/2013,19330,Central Government,SME,,EMERGN LTD,Student Loans Company Limited
Specialist Cloud Services,01/05/2013,15300,Central Government,SME,,EMERGN LTD,Student Loans Company Limited
Specialist Cloud Services,01/06/2013,2740,Central Government,SME,,EMERGN LTD,Student Loans Company Limited
Specialist Cloud Services,01/07/2013,31490,Central Government,SME,,EMERGN LTD,Student Loans Company Limited
Specialist Cloud Services,01/07/2013,32345,Central Government,SME,,EMERGN LTD,Student Loans Company Limited
Specialist Cloud Services,01/07/2013,16575,Central Government,SME,,EMERGN LTD,Student Loans Company Limited
Specialist Cloud Services,01/08/2013,69310,Central Government,SME,,EMERGN LTD,Student Loans Company Limited
Specialist Cloud Services,01/09/2013,48995,Central Government,SME,,EMERGN LTD,Student Loans Company Limited
Specialist Cloud Services,01/09/2013,39195,Central Government,SME,,EMERGN LTD,Student Loans Company Limited
Specialist Cloud Services,01/11/2013,26180,Central Government,SME,,EMERGN LTD,Student Loans Company Limited
Specialist Cloud Services,01/11/2013,15535,Central Government,SME,,EMERGN LTD,Student Loans Company Limited
Specialist Cloud Services,01/12/2013,17925,Central Government,SME,,EMERGN LTD,Student Loans Company Limited
Specialist Cloud Services,01/12/2013,77675,Central Government,SME,,EMERGN LTD,Student Loans Company Limited
Specialist Cloud Services,01/01/2014,21660,Central Government,SME,,EMERGN LTD,Student Loans Company Limited
Specialist Cloud Services,01/01/2014,34057.5,Central Government,SME,,EMERGN LTD,Student Loans Company Limited
Specialist Cloud Services,01/01/2014,10157.5,Central Government,SME,,EMERGN LTD,Student Loans Company Limited
Specialist Cloud Services,01/02/2014,23115,Central Government,SME,,EMERGN LTD,Student Loans Company Limited
Specialist Cloud Services,01/02/2014,83650,Central Government,SME,,EMERGN LTD,Student Loans Company Limited
Specialist Cloud Services,01/02/2014,0,Central Government,SME,,EMERGN LTD,Student Loans Company Limited
Specialist Cloud Services,01/07/2012,5200,Central Government,SME,,EMERGN LTD,Student Loans Company Limited
Specialist Cloud Services,01/02/2013,13700,Central Government,SME,,EMERGN LTD,Student Loans Company Limited
Specialist Cloud Services,01/02/2013,10625,Central Government,SME,,EMERGN LTD,Student Loans Company Limited
Specialist Cloud Services,01/01/2014,0,Central Government,SME,,EMERGN LTD,Student Loans Company Limited
Specialist Cloud Services,01/01/2014,0,Central Government,SME,,EMERGN LTD,Student Loans Company Limited
Specialist Cloud Services,01/03/2013,4800,Central Government,SME,,EMERGN LTD,Maritime and Coastguard Agency
Specialist Cloud Services,01/10/2013,12710,Central Government,SME,,EMERGN LTD,Office for National Statistics
Specialist Cloud Services,01/01/2014,10890,Central Government,SME,,EMERGN LTD,Office for National Statistics
Specialist Cloud Services,01/01/2014,6895,Central Government,SME,,EMERGN LTD,Office for National Statistics
Specialist Cloud Services,01/01/2014,47800,Central Government,SME,,EMERGN LTD,Office for National Statistics
Specialist Cloud Services,01/02/2014,0,Central Government,SME,,EMERGN LTD,Office for National Statistics
Specialist Cloud Services,01/03/2013,30600,Central Government,SME,,EMERGN LTD,Office for National Statistics
Specialist Cloud Services,01/05/2013,26350,Central Government,SME,,EMERGN LTD,Office for National Statistics
Specialist Cloud Services,01/05/2013,25225,Central Government,SME,,EMERGN LTD,Office for National Statistics
Specialist Cloud Services,01/11/2013,16590,Central Government,SME,,EMERGN LTD,Office for National Statistics
Specialist Cloud Services,01/11/2013,13700,Central Government,SME,,EMERGN LTD,Office for National Statistics
Specialist Cloud Services,01/02/2014,44325,Central Government,SME,,EMERGN LTD,Office for National Statistics
Specialist Cloud Services,01/02/2013,10850,Central Government,SME,,EMERGN LTD,Office for National Statistics
Specialist Cloud Services,01/01/2014,0,Central Government,SME,,EMERGN LTD,Office for National Statistics
Specialist Cloud Services,01/10/2012,3750,Central Government,SME,,EMERGN LTD,Student Loans Company Limited
Specialist Cloud Services,01/01/2013,39375,Central Government,SME,,EMERGN LTD,Student Loans Company Limited
Specialist Cloud Services,01/01/2013,21235,Central Government,SME,,EMERGN LTD,Student Loans Company Limited
Specialist Cloud Services,01/03/2013,7800,Central Government,SME,,EMERGN LTD,Student Loans Company Limited
Specialist Cloud Services,01/04/2013,6850,Central Government,SME,,EMERGN LTD,Student Loans Company Limited
Specialist Cloud Services,01/04/2013,16505,Central Government,SME,,EMERGN LTD,Student Loans Company Limited
Specialist Cloud Services,01/04/2013,3425,Central Government,SME,,EMERGN LTD,Student Loans Company Limited
Specialist Cloud Services,01/04/2013,6000,Central Government,SME,,EMERGN LTD,Student Loans Company Limited
Specialist Cloud Services,01/04/2013,13015,Central Government,SME,,EMERGN LTD,Student Loans Company Limited
Specialist Cloud Services,01/04/2013,17850,Central Government,SME,,EMERGN LTD,Student Loans Company Limited
Specialist Cloud Services,01/05/2013,16625,Central Government,SME,,EMERGN LTD,Student Loans Company Limited
Specialist Cloud Services,01/05/2013,6165,Central Government,SME,,EMERGN LTD,Student Loans Company Limited
Specialist Cloud Services,01/05/2013,35770,Central Government,SME,,EMERGN LTD,Student Loans Company Limited
Specialist Cloud Services,01/06/2013,15300,Central Government,SME,,EMERGN LTD,Student Loans Company Limited
Specialist Cloud Services,01/08/2013,11820,Central Government,SME,,EMERGN LTD,HS2 Ltd.
Specialist Cloud Services,01/12/2013,25200,Central Government,SME,,EMERGN LTD,HS2 Ltd.
Specialist Cloud Services,01/06/2013,32260,Central Government,SME,,EMERGN LTD,Student Loans Company Limited
Specialist Cloud Services,01/06/2013,36815,Central Government,SME,,EMERGN LTD,Student Loans Company Limited
Specialist Cloud Services,01/08/2013,30565,Central Government,SME,,EMERGN LTD,Student Loans Company Limited
Specialist Cloud Services,01/08/2013,33460,Central Government,SME,,EMERGN LTD,Student Loans Company Limited
Specialist Cloud Services,01/09/2013,37500,Central Government,SME,,EMERGN LTD,Student Loans Company Limited
Specialist Cloud Services,01/10/2013,50190,Central Government,SME,,EMERGN LTD,Student Loans Company Limited
Specialist Cloud Services,01/10/2013,15535,Central Government,SME,,EMERGN LTD,Student Loans Company Limited
Specialist Cloud Services,01/11/2013,23800,Central Government,SME,,EMERGN LTD,Student Loans Company Limited
Specialist Cloud Services,01/11/2013,14235,Central Government,SME,,EMERGN LTD,Student Loans Company Limited
Specialist Cloud Services,01/11/2013,82455,Central Government,SME,,EMERGN LTD,Student Loans Company Limited
Specialist Cloud Services,01/01/2014,27790,Central Government,SME,,EMERGN LTD,Student Loans Company Limited
Specialist Cloud Services,01/01/2014,15877.5,Central Government,SME,,EMERGN LTD,Student Loans Company Limited
Specialist Cloud Services,01/01/2014,22705,Central Government,SME,,EMERGN LTD,Student Loans Company Limited
Specialist Cloud Services,01/02/2013,25000,Central Government,SME,,EMERGN LTD,Student Loans Company Limited
Specialist Cloud Services,01/08/2012,12500,Central Government,SME,,EMERGN LTD,Student Loans Company Limited
Specialist Cloud Services,01/09/2012,18750,Central Government,SME,,EMERGN LTD,Student Loans Company Limited
Specialist Cloud Services,01/11/2012,25625,Central Government,SME,,EMERGN LTD,Student Loans Company Limited
Specialist Cloud Services,01/01/2013,9590,Central Government,SME,,EMERGN LTD,Student Loans Company Limited
Specialist Cloud Services,01/03/2013,13015,Central Government,SME,,EMERGN LTD,Student Loans Company Limited
Specialist Cloud Services,01/04/2013,8220,Central Government,SME,,EMERGN LTD,Student Loans Company Limited
Specialist Cloud Services,01/05/2013,5480,Central Government,SME,,EMERGN LTD,Student Loans Company Limited
Specialist Cloud Services,01/07/2013,63455,Central Government,SME,,EMERGN LTD,Student Loans Company Limited
Specialist Cloud Services,01/08/2013,16060,Central Government,SME,,EMERGN LTD,Student Loans Company Limited
Specialist Cloud Services,01/09/2013,15390,Central Government,SME,,EMERGN LTD,Student Loans Company Limited
Specialist Cloud Services,01/10/2013,28560,Central Government,SME,,EMERGN LTD,Student Loans Company Limited
Specialist Cloud Services,01/01/2014,13600,Central Government,SME,,EMERGN LTD,Student Loans Company Limited
Specialist Cloud Services,01/02/2014,16000,Central Government,SME,,EMERGN LTD,Student Loans Company Limited
Specialist Cloud Services,01/02/2014,17155,Central Government,SME,,EMERGN LTD,Student Loans Company Limited
Specialist Cloud Services,01/02/2014,19700,Central Government,SME,,EMERGN LTD,Student Loans Company Limited
Specialist Cloud Services,01/05/2012,37050,Central Government,SME,,EMERGN LTD,Student Loans Company Limited
Specialist Cloud Services,01/06/2012,6250,Central Government,SME,,EMERGN LTD,Student Loans Company Limited
Specialist Cloud Services,01/02/2013,6165,Central Government,SME,,EMERGN LTD,Student Loans Company Limited
Specialist Cloud Services,01/02/2013,12330,Central Government,SME,,EMERGN LTD,Student Loans Company Limited
Specialist Cloud Services,01/07/2013,9900,Health,SME,,EMERGN LTD,Health and Social Care Information Centre
Specialist Cloud Services,01/04/2013,5600,Central Government,SME,,EMERGN LTD,HM Revenue and Customs
Specialist Cloud Services,01/07/2013,21315,Central Government,SME,,EMERGN LTD,HS2 Ltd.
Specialist Cloud Services,01/07/2013,3940,Central Government,SME,,EMERGN LTD,HS2 Ltd.
Specialist Cloud Services,01/09/2013,8865,Central Government,SME,,EMERGN LTD,HS2 Ltd.
Specialist Cloud Services,01/09/2013,9850,Central Government,SME,,EMERGN LTD,HS2 Ltd.
Specialist Cloud Services,01/02/2014,9850,Central Government,SME,,EMERGN LTD,HS2 Ltd.
Specialist Cloud Services,01/02/2014,21670,Central Government,SME,,EMERGN LTD,HS2 Ltd.
Specialist Cloud Services,01/02/2014,4925,Central Government,SME,,EMERGN LTD,HS2 Ltd.
Specialist Cloud Services,01/02/2014,0,Central Government,SME,,EMERGN LTD,HS2 Ltd.
Specialist Cloud Services,01/07/2013,10835,Central Government,SME,,EMERGN LTD,HS2 Ltd.
Specialist Cloud Services,01/09/2013,2955,Central Government,SME,,EMERGN LTD,HS2 Ltd.
Specialist Cloud Services,01/12/2013,28072.5,Central Government,SME,,EMERGN LTD,HS2 Ltd.
Specialist Cloud Services,01/01/2014,0,Central Government,SME,,EMERGN LTD,HS2 Ltd.
Specialist Cloud Services,01/03/2013,11250,Central Government,SME,,EMERGN LTD,Ministry of Justice
Specialist Cloud Services,01/03/2013,1250,Central Government,SME,,EMERGN LTD,Ministry of Justice
Specialist Cloud Services,01/02/2013,2500,Central Government,SME,,EMERGN LTD,Ministry of Justice
Specialist Cloud Services,01/10/2012,15000,Central Government,SME,,EMERGN LTD,Department for International Development
Specialist Cloud Services,01/12/2012,11875,Central Government,SME,,EMERGN LTD,Department for International Development
Specialist Cloud Services,01/01/2013,1250,Central Government,SME,,EMERGN LTD,Department for International Development
Specialist Cloud Services,01/01/2013,13475,Central Government,SME,,EMERGN LTD,Department for International Development
Specialist Cloud Services,01/04/2013,8575,Central Government,SME,,EMERGN LTD,Department for International Development
Specialist Cloud Services,01/06/2013,1875,Central Government,SME,,EMERGN LTD,Department for International Development
Specialist Cloud Services,01/07/2013,1875,Central Government,SME,,EMERGN LTD,Department for International Development
Specialist Cloud Services,01/07/2013,6125,Central Government,SME,,EMERGN LTD,Department for International Development
Specialist Cloud Services,01/07/2013,1875,Central Government,SME,,EMERGN LTD,Department for International Development
Specialist Cloud Services,01/02/2013,8575,Central Government,SME,,EMERGN LTD,Department for International Development
Specialist Cloud Services,01/03/2014,7650,Central Government,Large,,Amor Business Technology Solutions Ltd,Department for Work And Pensions
Specialist Cloud Services,01/08/2012,44384,Central Government,SME,,EMERGN LTD,Department for Work And Pensions
Specialist Cloud Services,01/09/2012,52706,Central Government,SME,,EMERGN LTD,Department for Work And Pensions
Specialist Cloud Services,01/10/2012,56867,Central Government,SME,,EMERGN LTD,Department for Work And Pensions
Specialist Cloud Services,01/12/2012,12463,Central Government,SME,,EMERGN LTD,Department for Work And Pensions
Specialist Cloud Services,01/06/2012,44384,Central Government,SME,,EMERGN LTD,Department for Work And Pensions
Specialist Cloud Services,01/12/2012,17500,Central Government,SME,,EMERGN LTD,Department Of Energy And Climate Change
Specialist Cloud Services,01/03/2013,23250,Central Government,SME,,EMERGN LTD,Office for National Statistics
Specialist Cloud Services,01/04/2013,53000,Central Government,SME,,EMERGN LTD,Office for National Statistics
Specialist Cloud Services,01/07/2013,27625,Central Government,SME,,EMERGN LTD,Office for National Statistics
Specialist Cloud Services,01/07/2013,27525,Central Government,SME,,EMERGN LTD,Office for National Statistics
Specialist Cloud Services,01/09/2013,11760,Central Government,SME,,EMERGN LTD,Office for National Statistics
Specialist Cloud Services,01/09/2013,15640,Central Government,SME,,EMERGN LTD,Office for National Statistics
Specialist Cloud Services,01/10/2013,22410,Central Government,SME,,EMERGN LTD,Office for National Statistics
Specialist Cloud Services,01/12/2013,23400,Central Government,SME,,EMERGN LTD,Office for National Statistics
Specialist Cloud Services,01/10/2012,17500,Central Government,SME,,EMERGN LTD,Student Loans Company Limited
Specialist Cloud Services,01/01/2013,15070,Central Government,SME,,EMERGN LTD,Student Loans Company Limited
Specialist Cloud Services,01/03/2013,685,Central Government,SME,,EMERGN LTD,Student Loans Company Limited
Specialist Cloud Services,01/03/2013,24500,Central Government,SME,,EMERGN LTD,Student Loans Company Limited
Specialist Cloud Services,01/03/2013,13015,Central Government,SME,,EMERGN LTD,Student Loans Company Limited
Specialist Cloud Services,01/03/2013,11700,Central Government,SME,,EMERGN LTD,Student Loans Company Limited
Specialist Cloud Services,01/05/2013,13700,Central Government,SME,,EMERGN LTD,Student Loans Company Limited
Specialist Cloud Services,01/06/2013,17175,Central Government,SME,,EMERGN LTD,Student Loans Company Limited
Specialist Cloud Services,01/08/2013,39435,Central Government,SME,,EMERGN LTD,Student Loans Company Limited
Specialist Cloud Services,01/10/2013,30085,Central Government,SME,,EMERGN LTD,Student Loans Company Limited
Specialist Cloud Services,01/09/2013,49375,Central Government,SME,,EMERGN LTD,Student Loans Company Limited
Specialist Cloud Services,01/10/2013,113500,Central Government,SME,,EMERGN LTD,Student Loans Company Limited
Specialist Cloud Services,01/10/2013,16790,Central Government,SME,,EMERGN LTD,Student Loans Company Limited
Specialist Cloud Services,01/10/2013,24497.5,Central Government,SME,,EMERGN LTD,Student Loans Company Limited
Specialist Cloud Services,01/12/2013,41745,Central Government,SME,,EMERGN LTD,Student Loans Company Limited
Specialist Cloud Services,01/12/2013,11680,Central Government,SME,,EMERGN LTD,Student Loans Company Limited
Specialist Cloud Services,01/02/2014,20975,Central Government,SME,,EMERGN LTD,Student Loans Company Limited
Specialist Cloud Services,01/02/2014,298.75,Central Government,SME,,EMERGN LTD,Student Loans Company Limited
Specialist Cloud Services,01/02/2014,0,Central Government,SME,,EMERGN LTD,Student Loans Company Limited
Specialist Cloud Services,01/02/2013,8220,Central Government,SME,,EMERGN LTD,Student Loans Company Limited
Specialist Cloud Services,01/01/2014,0,Central Government,SME,,EMERGN LTD,Student Loans Company Limited
Specialist Cloud Services,01/03/2013,700,Central Government,SME,,EMERGN LTD,HM Revenue and Customs
Specialist Cloud Services,01/07/2013,11820,Central Government,SME,,EMERGN LTD,HS2 Ltd.
Specialist Cloud Services,01/10/2013,30535,Central Government,SME,,EMERGN LTD,HS2 Ltd.
Specialist Cloud Services,01/11/2013,33982.5,Central Government,SME,,EMERGN LTD,HS2 Ltd.
Specialist Cloud Services,01/01/2014,41370,Central Government,SME,,EMERGN LTD,HS2 Ltd.
Specialist Cloud Services,01/09/2013,500,Central Government,SME,,MAGIC MILESTONES,Foreign And Commonwealth Office
Specialist Cloud Services,01/03/2014,168825,Central Government,Large,,Sopra Group Ltd,Ministry of Justice
Specialist Cloud Services,01/03/2014,354842,Central Government,Large,,Sopra Group Ltd,Ministry of Justice
Specialist Cloud Services,01/04/2013,500,Central Government,SME,,MAGIC MILESTONES,Foreign And Commonwealth Office
Specialist Cloud Services,01/03/2013,500,Central Government,SME,,MAGIC MILESTONES,Foreign And Commonwealth Office
Specialist Cloud Services,01/03/2013,2782.5,Central Government,SME,,MAGIC MILESTONES,Foreign And Commonwealth Office
Specialist Cloud Services,01/04/2013,5167.5,Central Government,SME,,MAGIC MILESTONES,Foreign And Commonwealth Office
Specialist Cloud Services,01/05/2013,1987.5,Central Government,SME,,MAGIC MILESTONES,Foreign And Commonwealth Office
Specialist Cloud Services,01/06/2013,1590,Central Government,SME,,MAGIC MILESTONES,Foreign And Commonwealth Office
Specialist Cloud Services,01/05/2013,100000,Central Government,Large,,Valtech Ltd,Home Office
Specialist Cloud Services,01/08/2013,90000,Central Government,Large,,Valtech Ltd,Home Office
Specialist Cloud Services,01/10/2013,110000,Central Government,Large,,Valtech Ltd,Home Office
Specialist Cloud Services,01/10/2013,14535,Central Government,Large,,Valtech Ltd,Home Office
Specialist Cloud Services,01/01/2014,19380,Central Government,Large,,Valtech Ltd,Home Office
Specialist Cloud Services,01/08/2012,13600,Central Government,SME,,EMERGN LTD,Student Loans Company Limited
Specialist Cloud Services,01/09/2012,11475,Central Government,SME,,EMERGN LTD,Student Loans Company Limited
Specialist Cloud Services,01/10/2012,12750,Central Government,SME,,EMERGN LTD,Student Loans Company Limited
Specialist Cloud Services,01/11/2012,19550,Central Government,SME,,EMERGN LTD,Student Loans Company Limited
Specialist Cloud Services,01/11/2012,13700,Central Government,SME,,EMERGN LTD,Student Loans Company Limited
Specialist Cloud Services,01/12/2012,10275,Central Government,SME,,EMERGN LTD,Student Loans Company Limited
Specialist Cloud Services,01/08/2012,1600,Central Government,SME,,EMERGN LTD,Student Loans Company Limited
Specialist Cloud Services,01/09/2012,1600,Central Government,SME,,EMERGN LTD,Student Loans Company Limited
Specialist Cloud Services,01/12/2012,4250,Central Government,SME,,EMERGN LTD,Student Loans Company Limited
Specialist Cloud Services,01/10/2013,236732.5,Central Government,SME,,THOUGHTWORKS LTD,Cabinet Office
Specialist Cloud Services,01/01/2014,45068.5,Central Government,SME,,THOUGHTWORKS LTD,Cabinet Office
Specialist Cloud Services,01/02/2014,365132.5,Central Government,SME,,THOUGHTWORKS LTD,Cabinet Office
Specialist Cloud Services,01/02/2014,91235,Central Government,SME,,THOUGHTWORKS LTD,Cabinet Office
Specialist Cloud Services,01/03/2014,89275,Central Government,SME,,THOUGHTWORKS LTD,Cabinet Office
Specialist Cloud Services,01/12/2013,76365,Central Government,SME,,THOUGHTWORKS LTD,Cabinet Office
Specialist Cloud Services,01/01/2014,52175,Central Government,SME,,THOUGHTWORKS LTD,Cabinet Office
Specialist Cloud Services,01/03/2014,34842.5,Central Government,SME,,THOUGHTWORKS LTD,Cabinet Office
Specialist Cloud Services,01/11/2013,28028,Central Government,SME,,THOUGHTWORKS LTD,Department for Work And Pensions
Specialist Cloud Services,01/12/2013,9994.99,Central Government,SME,,THOUGHTWORKS LTD,Department for Work And Pensions
Specialist Cloud Services,01/10/2013,92221,Central Government,SME,,THOUGHTWORKS LTD,Department for Work And Pensions
Specialist Cloud Services,01/10/2013,12188.86,Central Government,SME,,THOUGHTWORKS LTD,Department for Work And Pensions
Specialist Cloud Services,01/11/2013,38352,Central Government,SME,,THOUGHTWORKS LTD,Department for Work And Pensions
Specialist Cloud Services,01/11/2013,5333.84,Central Government,SME,,THOUGHTWORKS LTD,Department for Work And Pensions
Specialist Cloud Services,01/09/2013,109928.5,Central Government,SME,,THOUGHTWORKS LTD,Office of the Gas and Electricity Markets
Specialist Cloud Services,01/09/2013,52151,Central Government,SME,,THOUGHTWORKS LTD,Student Loans Company Limited
Specialist Cloud Services,01/05/2013,23500,Central Government,SME,,THOUGHTWORKS LTD,Office of the Gas and Electricity Markets
Specialist Cloud Services,01/08/2013,-23500,Central Government,SME,,THOUGHTWORKS LTD,Office of the Gas and Electricity Markets
Specialist Cloud Services,01/11/2013,136379.5,Central Government,SME,,THOUGHTWORKS LTD,Office of the Gas and Electricity Markets
Specialist Cloud Services,01/07/2013,59248,Central Government,SME,,THOUGHTWORKS LTD,Office of the Gas and Electricity Markets
Specialist Cloud Services,01/08/2013,132547.5,Central Government,SME,,THOUGHTWORKS LTD,Office of the Gas and Electricity Markets
Specialist Cloud Services,01/10/2013,141553,Central Government,SME,,THOUGHTWORKS LTD,Office of the Gas and Electricity Markets
Specialist Cloud Services,01/12/2013,142832.5,Central Government,SME,,THOUGHTWORKS LTD,Office of the Gas and Electricity Markets
Specialist Cloud Services,01/02/2014,72012,Central Government,SME,,THOUGHTWORKS LTD,Office of the Gas and Electricity Markets
Specialist Cloud Services,01/02/2014,61806,Central Government,SME,,THOUGHTWORKS LTD,Office of the Gas and Electricity Markets
Specialist Cloud Services,01/03/2014,89768,Central Government,SME,,THOUGHTWORKS LTD,Office of the Gas and Electricity Markets
Specialist Cloud Services,01/11/2013,285916.5,Central Government,SME,,THOUGHTWORKS LTD,Cabinet Office
Specialist Cloud Services,01/12/2013,285073.5,Central Government,SME,,THOUGHTWORKS LTD,Cabinet Office
Specialist Cloud Services,01/12/2013,58811,Central Government,SME,,THOUGHTWORKS LTD,Cabinet Office
Specialist Cloud Services,01/01/2014,212383,Central Government,SME,,THOUGHTWORKS LTD,Cabinet Office
Specialist Cloud Services,01/02/2014,24887.5,Central Government,SME,,THOUGHTWORKS LTD,Cabinet Office
Specialist Cloud Services,01/03/2014,376202,Central Government,SME,,THOUGHTWORKS LTD,Cabinet Office
Specialist Cloud Services,01/11/2013,4825.44,Central Government,SME,,THOUGHTWORKS LTD,Department for Work And Pensions
Specialist Cloud Services,01/12/2013,65373.5,Central Government,SME,,THOUGHTWORKS LTD,Department for Work And Pensions
Specialist Cloud Services,01/11/2013,41564,Central Government,SME,,THOUGHTWORKS LTD,Insolvency Service
Specialist Cloud Services,01/08/2013,23500,Central Government,SME,,THOUGHTWORKS LTD,Office of the Gas and Electricity Markets
Specialist Cloud Services,01/02/2014,6000,Central Government,SME,,Triad Group Plc,Tribunals Service Group Billing South
Specialist Cloud Services,01/02/2014,27500,Central Government,SME,,Triad Group Plc,Tribunals Service Group Billing South
Specialist Cloud Services,01/03/2014,6000,Central Government,SME,,Triad Group Plc,Tribunals Service Group Billing South
Specialist Cloud Services,01/03/2014,27500,Central Government,SME,,Triad Group Plc,Tribunals Service Group Billing South
Specialist Cloud Services,01/01/2014,50500,Central Government,SME,,Triad Group Plc,Tribunals Service Group Billing South
Specialist Cloud Services,01/01/2014,50500,Central Government,SME,,Triad Group Plc,Tribunals Service Group Billing South
Specialist Cloud Services,01/02/2014,4875,Central Government,SME,,Triad Group Plc,Tribunals Service Group Billing South
Specialist Cloud Services,01/02/2014,16500,Central Government,SME,,Triad Group Plc,Tribunals Service Group Billing South
Specialist Cloud Services,01/02/2014,27500,Central Government,SME,,Triad Group Plc,Tribunals Service Group Billing South
